title,original_title,budget,genre,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
After Love,Die blauen Stunden,0,"Drama, Romance",de,,http://www.after-love.net/,"A cinematic menage-a-trois between a photographer, a rentboy and a transsexual call girl.",1.593,72,0,2015-01-01,2.0,1,Austria,https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,"subject: Movies;creative_works: After Love (2020) (Movie);persons: Khan, Aleem;persons: Scanlan, Joanna (1961- );",2023-01-19T12:00:06+0000,359,‘After Love’ Review: The Other Woman,Critic’s Pick,,After Love,,,,By Beatrice Loayza,
After Love,Après l'amour,0,Drama,fr,French,,"Betrayed by his wife, a teacher proceeds to have an affair with a young and pretty student. The two women both find themselves expecting a child. The girl dies during childbirth. In a spirit of revenge and to keep his real son, the scorned husband exchanges the babies.",1.491,95,0,1948-01-22,4.5,1,France,https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,"subject: Movies;creative_works: After Love (2020) (Movie);persons: Khan, Aleem;persons: Scanlan, Joanna (1961- );",2023-01-19T12:00:06+0000,359,‘After Love’ Review: The Other Woman,Critic’s Pick,,After Love,,,,By Beatrice Loayza,
Love After Love,第一炉香,0,Drama,zh,Mandarin,,"The film tells the story of a young girl who travels from Shanghai to Hong Kong in pursuit of education, but ends up working for her aunt seducing rich and powerful men.",4.952,144,0,2021-10-22,5.62,25,China,https://www.nytimes.com/2022/03/17/movies/love-after-love-review.html,Ann Hui’s World War II-era film is lovely to look at but lacks emotional depth and resonance.,The New York Times,"subject: Movies;organizations: MUBI Inc;persons: Hui, Ann;persons: Peng, Eddie (1982- );glocations: Hong Kong;creative_works: Love After Love (Movie);",2022-03-17T11:00:12+0000,292,‘Love After Love’ Review: Elegance Without a Center,,,Love After Love,,,,By Claire Shaffer,
Love After Love,Après l'amour,0,"Romance, Drama",fr,French,,"Lola is an independent woman, a professional writer with 2 men on a string. Both men are married with children. When the men, and Lola, face having to make choices, Lola's comfortable life becomes less appealing.",1.01,104,0,1992-04-15,5.6,8,"Portugal, France",https://www.nytimes.com/2022/03/17/movies/love-after-love-review.html,Ann Hui’s World War II-era film is lovely to look at but lacks emotional depth and resonance.,The New York Times,"subject: Movies;organizations: MUBI Inc;persons: Hui, Ann;persons: Peng, Eddie (1982- );glocations: Hong Kong;creative_works: Love After Love (Movie);",2022-03-17T11:00:12+0000,292,‘Love After Love’ Review: Elegance Without a Center,,,Love After Love,,,,By Claire Shaffer,
Love After Love,Love After Love,0,Drama,en,English,,A sixty-something mother and her two adult sons cope and move onward following the death of their larger-than-life father/husband.,2.419,93,0,2018-03-30,5.625,20,United States of America,https://www.nytimes.com/2022/03/17/movies/love-after-love-review.html,Ann Hui’s World War II-era film is lovely to look at but lacks emotional depth and resonance.,The New York Times,"subject: Movies;organizations: MUBI Inc;persons: Hui, Ann;persons: Peng, Eddie (1982- );glocations: Hong Kong;creative_works: Love After Love (Movie);",2022-03-17T11:00:12+0000,292,‘Love After Love’ Review: Elegance Without a Center,,,Love After Love,,,,By Claire Shaffer,
Love After Love,Love After Love,0,Music,en,No Language,,"The video, for a track by Jefre Cantu-Ledesma, was directed by Paul Clipson, who interprets the stuttering ambient composition with busy, bursting edits of a young woman walking on a sun-drenched beach.",0.6,5,0,2014-01-01,5.0,1,United States of America,https://www.nytimes.com/2022/03/17/movies/love-after-love-review.html,Ann Hui’s World War II-era film is lovely to look at but lacks emotional depth and resonance.,The New York Times,"subject: Movies;organizations: MUBI Inc;persons: Hui, Ann;persons: Peng, Eddie (1982- );glocations: Hong Kong;creative_works: Love After Love (Movie);",2022-03-17T11:00:12+0000,292,‘Love After Love’ Review: Elegance Without a Center,,,Love After Love,,,,By Claire Shaffer,
Alcarràs,Alcarràs,0,Drama,ca,Catalan,https://www.alcarras-film.com/,"In a small village in Catalonia, the peach farmers of the Solé family spend every summer together picking fruit from their orchard. But when plans arise to install solar panels and cut down trees, the members of this tight-knit group suddenly face eviction – and the loss of far more than their home.",11.087,120,0,2022-04-29,6.935,162,Spain,https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,"subject: Movies;persons: Simon, Carla;creative_works: Alcarras (Movie);",2023-01-05T12:00:03+0000,306,‘Alcarràs’ Review: Labor of Love,,,Alcarràs,,,,By Devika Girish,
Nelly & Nadine,Nelly och Nadine,0,Documentary,sv,"English, Spanish, French, Swedish",https://www.autoimages.se/nelly_nadine,"Nelly and Nadine meet in Ravensbrück concentration camp. They spend the rest of their lives together. Decades later, Nelly’s granddaughter goes in search of clues. A poignant film about a love story and the need for individual and collective remembrance.",2.019,92,0,2024-06-05,0.0,0,"Belgium, Norway, Sweden",https://www.nytimes.com/2022/12/15/movies/nelly-and-nadine-review.html,A family archive provides intimate records of a love affair that began between two women imprisoned in the Ravensbrück concentration camp.,The New York Times,"subject: Documentary Films and Programs;persons: Gertten, Magnus;creative_works: Nelly & Nadine (Movie);subject: Content Type: Personal Profile;subject: Holocaust and the Nazi Era;subject: World War II (1939-45);subject: Women and Girls;subject: Homosexuality and Bisexuality;",2022-12-15T12:00:04+0000,308,"‘Nelly & Nadine’ Review: An Unlikely Love, an Unlikely Record",,,Nelly &amp; Nadine,,,,By Teo Bugbee,
The Sound of Christmas,The Sound of Christmas,0,"TV Movie, Drama",en,English,,A woman facing eviction just before Christmas who must navigate budding romantic feelings for a handsome billionaire when she takes a job nannying for his two children right before Christmas.,1.4,0,0,2022-11-24,8.0,4,United States of America,https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,A young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,The New York Times,"subject: Movies;persons: Ne-Yo;creative_works: The Sound of Christmas (Movie);persons: Mattison, Booker T;persons: McNeill, Serayah;",2022-11-23T15:00:09+0000,277,‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,,,The Sound  Of Christmas,,,,By Concepción de León,
The Inspection,The Inspection,0,Drama,en,"Arabic, Spanish, English",https://a24films.com/films/inspection,"Ellis French is a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life.",17.105,95,0,2022-11-18,6.347,50,United States of America,https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",The New York Times,"subject: Movies;creative_works: The Inspection (Movie);persons: Bratton, Elegance;",2022-11-17T12:00:07+0000,836,"‘The Inspection’ Review: Boot Camp, a Love Story",critic’s pick,,"A Few Good Men, Some With Secrets",,,,By A.O. Scott,
The Inspection,L'inspection,0,Drama,fr,French,,"The Inspection is a mighty film without (luckily) any morality in the end — it is a story about what can and what cannot be told to children. A school teacher receives a visit from an educational inspector, who is trying to coherently react to the parents’ complaints. It turns out she spends too much time telling children about the horrible events of the 20th century, in particular about the Holocaust — all in contradiction to the logically drawn school curriculum. She is deeply convinced that while one cannot talk too much about the genocide of the European Jews, it is way too easy not to say enough, not to warn and not to explain.",1.4,16,0,2021-09-03,7.0,2,France,https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",The New York Times,"subject: Movies;creative_works: The Inspection (Movie);persons: Bratton, Elegance;",2022-11-17T12:00:07+0000,836,"‘The Inspection’ Review: Boot Camp, a Love Story",critic’s pick,,"A Few Good Men, Some With Secrets",,,,By A.O. Scott,
Bones and All,Bones and All,18000000,"Drama, Horror, Romance",it,English,https://www.bonesandallfilm.net/,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",30.671,131,15100000,2022-11-18,7.1,1122,"Italy, United States of America",https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,Luca Guadagnino’s latest stars Timothée Chalamet and Taylor Russell as young cannibals on the run.,The New York Times,"subject: Movies;creative_works: Bones and All (Movie);persons: Guadagnino, Luca;persons: Chalamet, Timothee (1995- );persons: Russell, Taylor (1994- );",2022-11-17T12:00:06+0000,710,‘Bones and All’ Review: You Eat What You Are,,,"It’s Eat, Prey, Love on a Journey of Self-Discovery",,,,By A.O. Scott,
